Substack Handle,Author,Newsletter Name,Website URL,Category,Collections
datacated,Kate Strachnyi,Running DATAcated,https://datacated.substack.com,Data & Analytics,SWAI
suzitravis,Suzi Travis,When Life Gives You a Brain,https://suzitravis.substack.com,Technology,SWAI
aibrews,Mariam,AI Brews,https://aibrews.substack.com,AI & Machine Learning,SWAI
gshao,Grace Shao,AI Proem,https://aiproem.substack.com,AI & Machine Learning,SWAI
ravitdotan,Ravit Dotan,The AI Ethics Treasure Chest,https://techbetter.substack.com,Ethics & Society,SWAI
luizajarovsky,"Luiza Jarovsky, PhD",Luiza's Newsletter,https://luizasnewsletter.substack.com,Ethics & Society,SWAI
aisimplifiedforleaders,Joyce Li,AI Simplified for Leaders,https://aisimplifiedforleaders.substack.com,AI & Machine Learning,SWAI
amandango,Amanda,Fractal Cafe,https://amandango.substack.com,AI & Machine Learning,SWAI
theaigirl,Diana Dovgopol,The AI Girl,https://theaigirl.substack.com,AI & Machine Learning,SWAI
jessleao,Jess Leão,AI Pioneers at Work,https://jessleao.substack.com,Career & Leadership,SWAI
bigbets,Alice Newton Rex,Big Bets,https://bigbets.substack.com,AI & Machine Learning,SWAI
michellenie,Michelle Nie,Michelle’s Substack,https://michellenie.substack.com,AI & Machine Learning,SWAI
drheathermroff,Dr. Heather M. Roff,The AIs of March,https://drhroff.substack.com,AI & Machine Learning,SWAI
catherinebreslin,Catherine Breslin,AI x Insights,https://aixinsights.substack.com,AI & Machine Learning,SWAI
wanderingtechnologist,Jenn Spykerman,The AI Strategy Navigator,https://wanderingtechnologist.substack.com,Business & Strategy,SWAI
coffeelike,"Steph Fuccio, Coffeelike Media",AI Is A Pencil,https://aiisapencil.substack.com,AI & Machine Learning,SWAI
kendravant,Kendra Vant,Data Runs Deep,https://kendravant.substack.com,Data & Analytics,SWAI
conversaitions,Convers(AI)tions,Convers(AI)tions,https://convers41tions.substack.com,AI & Machine Learning,SWAI
